delta	throttle	v	epsi	cte
-0.134835	1	0.000162394	-0.0133066	-3.2202
-0.134837	1	0.00016208	-0.0133076	-3.2202
0.252088	1	1.83586	-0.0120789	-3.22032
0.444665	1	3.34107	-0.00907816	-3.22248
0.541748	1	4.95878	-0.0178043	-3.20504
0.532507	1	6.55168	-0.0409788	-3.15946
0.42716	1	8.12672	-0.077971	-3.08003
0.294385	1	9.474	-0.117147	-2.98338
0.135207	1	11.0453	-0.163645	-2.83833
-0.00493679	1	12.5488	-0.204181	-2.65953
-0.0980527	1	14.1473	-0.231201	-2.44716
-0.14026	1	15.5695	-0.242883	-2.21105
-0.152583	1	17.0664	-0.238789	-1.96251
-0.152614	1	18.7008	-0.221222	-1.67936
-0.139205	1	20.3215	-0.195551	-1.41032
-0.118736	1	21.7114	-0.169456	-1.1958
-0.0975556	1	23.0934	-0.141606	-1.0068
-0.0819015	1	24.4502	-0.122002	-0.894711
-0.0626285	1	25.9753	-0.0941009	-0.730655
-0.0470271	1	27.2898	-0.0727878	-0.615716
-0.0380541	1	28.5851	-0.0548987	-0.524557
-0.031824	1	29.8614	-0.0407551	-0.453178
-0.0254827	1	31.119	-0.0298455	-0.39836
-0.0192989	1	32.5337	-0.0203796	-0.352403
-0.0179731	1	33.5794	-0.0149826	-0.327598
-0.0158918	1	35.8007	-0.00796358	-0.292421
-0.0151806	1	36.972	-0.00572763	-0.280863
-0.0191313	1	38.29	-0.0123723	-0.268775
-0.0188841	1	39.4254	-0.00990664	-0.244657
-0.0145706	1	40.7027	-0.00706024	-0.223986
-0.0129738	0.943199	41.8032	-0.00435983	-0.212801
-0.0150006	0.82912	42.7338	-0.00236384	-0.207808
-0.0155886	0.728287	43.5853	-0.000953616	-0.205872
-0.0135079	0.629077	44.4947	0.000466964	-0.207186
-0.0126326	0.571854	45.0251	0.00142426	-0.210944
-0.0149834	0.525368	45.4641	-9.5501e-05	-0.264155
-0.0160496	0.489674	45.7457	0.000133889	-0.264938
-0.0146447	0.47032	45.9539	0.00026687	-0.266134
-0.0140468	0.452832	46.1288	0.000573916	-0.268451
-0.0153215	0.435805	46.2459	0.000819552	-0.271175
-0.0161494	0.423241	46.3358	0.000889816	-0.274102
-0.015636	0.417157	46.4096	0.000890693	-0.277569
-0.0152989	0.41409	46.4534	0.000953846	-0.280748
-0.0157887	0.406405	46.4913	0.00154587	-0.273295
-0.0163599	0.402348	46.5185	0.00160417	-0.277961
-0.0164038	0.401293	46.5377	0.00159294	-0.283463
-0.0163092	0.401686	46.5475	0.00157886	-0.288217
-0.0166204	0.400843	46.5548	0.00156135	-0.292973
-0.0171467	0.399111	46.5635	0.00149279	-0.298423
-0.0173262	0.398682	46.57	0.00140004	-0.302888
-0.017314	0.399261	46.574	0.0013215	-0.30717
-0.0196873	0.377389	46.5776	-0.00821304	-0.287625
-0.019344	0.374926	46.5812	-0.00605028	-0.270678
-0.016726	0.385898	46.554	-0.00353582	-0.258148
-0.0160913	0.392376	46.5234	-0.00139886	-0.253462
-0.0174536	0.390644	46.5057	0.000394451	-0.253444
-0.0176878	0.39236	46.4988	0.00169942	-0.256982
-0.0165948	0.400167	46.4915	0.00269424	-0.263246
-0.0165329	0.405035	46.4849	0.0036159	-0.273444
-0.0177718	0.402651	46.4892	0.00411232	-0.283896
-0.0248163	0.387046	46.5013	-0.0220043	-0.409679
-0.0239743	0.376438	46.513	-0.0171155	-0.353681
-0.0178254	0.393489	46.5034	-0.0128044	-0.318042
-0.0170745	0.396617	46.4775	-0.0082821	-0.294198
-0.0206467	0.381053	46.4693	-0.00380136	-0.279247
-0.0209743	0.379367	46.4699	-0.000948166	-0.274633
-0.0181669	0.396886	46.4524	0.00142123	-0.276457
-0.0161081	0.413643	46.4252	0.0109709	-0.255634
-0.0190229	0.409654	46.423	0.0115126	-0.284684
-0.022314	0.398556	46.4453	0.0112209	-0.313889
-0.0227506	0.403716	46.4701	0.0102332	-0.346268
-0.0225849	0.412831	46.4767	0.00931281	-0.372117
-0.0246208	0.406995	46.4866	0.00843522	-0.396284
-0.0272793	0.393973	46.5088	0.00746756	-0.418268
-0.0286916	0.382703	46.5284	0.00584914	-0.429795
-0.029185	0.385898	46.5273	0.00537411	-0.449081
-0.0299935	0.388453	46.5102	0.00511378	-0.465263
-0.0313508	0.386936	46.4942	0.00492059	-0.481175
-0.0326359	0.386459	46.4804	0.00470509	-0.499149
-0.0330814	0.391036	46.4673	0.00455134	-0.514109
-0.0333932	0.396996	46.4535	0.00448033	-0.528765
-0.034219	0.398567	46.4451	0.00446071	-0.543268
-0.0352952	0.398065	46.4454	0.00440724	-0.559811
-0.0371426	0.369631	46.4488	-0.0271676	-0.62432
-0.0352223	0.362698	46.4523	-0.0175147	-0.562737
-0.0327362	0.37906	46.421	-0.0102042	-0.531991
-0.0334379	0.380817	46.3749	-0.00392943	-0.518641
-0.0355031	0.375252	46.3434	0.00169279	-0.519868
-0.0359903	0.384803	46.3223	0.00515946	-0.531548
-0.038984	0.323233	46.2951	-0.0241068	-0.560372
-0.0388987	0.306175	46.2758	-0.0118227	-0.512774
-0.0371848	0.334231	46.1878	-0.00309788	-0.49904
-0.038342	0.351471	46.0649	0.0040789	-0.505642
-0.0418116	0.346474	45.9729	0.00952673	-0.527475
-0.0516707	0.247748	45.9001	-0.0230195	-0.627616
-0.0512747	0.238119	45.8359	-0.0114579	-0.593772
-0.0453851	0.341437	45.6519	-0.00168879	-0.590425
-0.0474607	0.390454	45.3979	0.00765146	-0.617608
